Sample,Temperature,Eh,O2,H+,HCO3-,Al+3,SbO2-,H2AsO4-,Ba+2,Be+2,Bi+3,B(OH)3,Br-,Cd+2,Ca+2,Ce+3,Cs+,Cl-,CrO4-2,Co+2,Cu+2,Dy+3,Er+3,Eu+2,F-,Gd+3,Ga+3,Au+,Hf+4,Ho+3,In+3,I-,Fe+2,La+3,Pb+2,Li+,Lu+3,Mg+2,Mn+2,Hg+2,MoO4-2,Nd+3,Ni+2,NbO3-,NO3-,NO2-,Pd+2,HPO4-2,Pt+2,K+,Pr+3,ReO4-,Rb+,Ru+3,Sm+3,Sc+3,SeO3-2,SiO2,Ag+,Na+,Sr+2,SO4-2,Tb+3,Tl+,Th+4,Tm+3,Sn+2,WO4-2,U+4,VO+2,Yb+3,Y+3,Zn+2,Zr+4
,degC,volts,ppm,pH,"Alk., mg/L CaCO3",ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
CA 2472-02,14,0.27,0.4,5.4,-289,580,0.01,4.6,19,1.5,0.02,62,0.053,0.02,220,7.5,0.29,11,0.6,150,1,2.9,1.6,0.48,0.1,2.8,0.16,0.0011,0.038,0.62,0.001,0.004,174000,2.4,0.05,78,0.16,82,4900,0.2,0.1,5.2,130,0.01,0.03,0.02,0.02,0.001,0.02,7.9,1.1,0.001,20,0.02,1.6,4.7,0.5,18,0.2,15,1000,1100,0.52,0.15,0.041,0.21,0.1,0.03,0.21,0.14,1.1,18,46,0.06
WM 2544-01,13,0.27,1.4,6,19,140,0.01,8.4,11,0.3,0.05,120,0.078,0.02,100,1.5,0.12,63,2.5,8.4,1.3,0.58,0.29,0.12,0.1,0.7,0.095,0.009,0.011,0.12,0.009,0.018,54000,0.38,0.1,56,0.035,33,1800,0.2,0.45,1.3,19,0.02,0.03,0.02,0.02,0.04,0.02,3.2,0.26,0.004,6.8,0.02,0.45,6.5,1.1,20,0.2,140,1300,560,0.12,0.018,0.055,0.037,0.1,0.06,0.45,0.076,0.2,4.2,16,0.05
WM 2544-01a,13,0.26,1,6.1,5,140,0.01,8.4,11,0.3,0.01,110,0.073,0.01,100,1.4,0.12,50,1.9,9.5,0.5,0.58,0.3,0.12,0.1,0.68,0.075,0.0009,0.011,0.12,0.007,0.015,62000,0.32,0.1,57,0.031,29,1800,0.2,0.46,1.4,17,0.01,0.03,0.02,0.02,0.011,0.02,3.5,0.25,0.004,7.5,0.02,0.41,5.1,0.2,19,0.2,110,1400,530,0.11,0.029,0.012,0.043,0.1,0.07,0.17,0.081,0.2,4.4,19,0.04
WA-0657-8,12,0.35,0.4,5.1,-71,2800,0.01,11,11,1.1,0.02,160,0.063,0.22,110,14,0.11,31,2.3,42,1.2,2.4,1.2,0.72,0.1,3.1,0.12,0.0011,0.026,0.45,0.01,0.012,37000,3.7,0.095,98,0.12,38,1400,0.2,0.2,10,130,0.01,0.03,0.02,0.02,0.001,0.02,3.1,2.2,0.004,5.7,0.02,2.8,6.5,0.6,24,0.2,69,1500,590,0.49,0.16,0.02,0.15,0.1,0.02,0.37,0.14,0.79,12,150,0.05
WM 0436-5,13,0.24,0.6,6.2,7,380,0.02,6.3,17,0.7,0.02,92,0.051,0.095,150,9.3,0.11,33,1.5,24,0.75,1.8,0.83,0.43,0.1,2.2,0.09,0.0101,0.021,0.35,0.007,0.015,71000,2.7,0.2,65,0.071,42,2300,0.2,0.55,6.4,39,0.01,0.03,0.02,0.02,0.001,0.02,3.8,1.4,0.002,8,0.02,1.7,9,0.4,19,0.2,93,1600,680,0.33,0.073,0.031,0.1,0.2,0.035,0.13,0.23,0.49,12,57,0.06
WA 0657-05,12.5,0.44,0.4,4.4,-185,7900,0.01,1.1,9.6,2.1,0.02,130,0.044,0.39,160,28,0.17,9.5,2.1,80,1,5.6,2.6,1.5,0.1,7,0.19,0.0006,0.055,1,0.017,0.016,74000,7.4,0.3,110,0.24,49,4500,0.2,0.1,20,160,0.01,0.03,0.02,0.02,0.001,0.02,3.5,4.2,0.001,8.5,0.02,5.7,14,0.6,31,0.2,23,1400,790,1.1,0.39,0.035,0.34,0.1,0.02,0.42,0.26,1.8,29,230,0.07
WA 1443-02,12.5,0.18,3.2,6.3,22,140,0.01,11,16,0.2,0.02,190,0.055,0.06,180,1.1,0.064,8.8,0.5,34,0.8,0.25,0.16,0.043,0.1,0.29,0.09,0.0008,0.003,0.058,0.003,0.016,86000,0.4,0.1,75,0.015,53,1600,0.2,0.83,0.68,53,0.01,0.03,0.02,0.02,0.001,0.02,4.6,0.18,0.003,5.4,0.02,0.14,7,0.4,15,0.2,88,2000,790,0.048,0.068,0.033,0.018,0.1,0.06,0.08,0.23,0.083,3,34,0.04
CA 2716-07,11.5,0.41,0.9,5.1,-64,2700,0.01,1.7,14,3.8,0.01,39,0.019,0.21,120,14,0.099,2.9,1.2,130,3.1,3.4,1.9,0.69,0.1,3.6,0.14,0.0009,0.042,0.67,0.001,0.005,29000,4.8,0.52,73,0.2,46,3300,0.2,0.1,8.8,180,0.01,0.03,0.02,0.02,0.001,0.02,3.5,2,0.001,7.7,0.02,2.7,6.5,0.6,20,0.2,2.5,310,540,0.63,0.13,0.008,0.25,0.1,0.04,0.14,0.46,1.3,16,280,0.03
AL Scrubgrass,13,0.21,0.3,6.1,58,14,0.01,14,14,0.1,0.01,190,0.46,0.05,100,0.03,0.095,270,3.3,7.1,2.1,0.017,0.015,0.005,0.1,0.024,0.06,0.0009,0.002,0.008,0.001,0.04,62000,0.013,0.1,37,0.004,32,660,0.2,0.5,0.036,17,0.01,0.03,0.02,0.11,0.001,0.02,5.1,0.007,0.003,5.2,0.02,0.013,3.9,1.3,15,0.2,280,1700,550,0.005,0.049,0.006,0.003,0.1,0.02,0.7,0.029,0.015,0.64,8.4,0.03
CA 2473-13,12,0.46,1,4.9,-109,9600,0.01,2.9,11,7.9,0.04,39,0.044,0.44,120,19,0.12,6.3,2,160,7.9,5.3,2.9,0.95,0.1,5.1,0.2,0.0015,0.065,1.1,0.004,0.01,30000,6.5,0.92,110,0.33,44,3100,0.2,0.08,12,230,0.01,0.03,0.02,0.02,0.001,0.02,3.8,2.7,0.001,8.5,0.02,3.7,11,0.85,29,0.2,19,500,600,0.91,0.14,0.045,0.39,0.1,0.02,0.38,0.87,2.2,23,390,0.03
CA 2473-14,11.5,0.25,1.2,5.6,-1,460,0.02,5.2,16,1.4,0.07,44,0.06,0.2,120,6.6,0.11,8.2,3.2,81,4.2,1.5,0.81,0.27,0.1,1.5,0.09,0.0019,0.021,0.31,0.007,0.013,26000,2.4,0.2,72,0.086,38,2300,0.2,0.2,3.6,100,0.02,0.03,0.02,0.02,0.001,0.02,4.2,0.85,0.001,7.9,0.02,1,6,1.4,19,0.2,24,620,480,0.26,0.17,0.1,0.099,0.1,0.025,0.52,0.11,0.55,8.4,160,0.04
