Sample,Year,Area,pH,Temperature,logfO2,HCO3-_(input),SiO2_(input),F-_(input),Cl-_(input),Br-_(input),SO4-2_(input),NO2-_(input),NO3-_(input),Li+_(input),Na+_(input),NH4+_(input),K+_(input),Mg+2_(input),Ca+2_(input),Fe+2_(input),HS-_(input),rho_(input),redox_(input),redox_(input),redox_(input),Br-,Br3-,BrO-,BrO3-,BrO4-,CO,CO2,CO3-2,Ca(CO3),Ca(HCO3)+,Ca(HSiO3)+,Ca+2,CaCl+,CaCl2,CaF+,CaOH+,CaSO4,Cl-,ClO-,ClO2-,ClO3-,ClO4-,F-,Fe+2,Fe+3,FeCl+,FeCl2,FeF+,FeF+2,FeO,FeO+,FeO2-,FeOH+,FeOH+2,H+,H2,H2N2O2,H2O,H2O2,H2S,HBrO,HCO3-,HCl,HClO,HF,HF2-,HFeO2,HFeO2-,HN2O2-,HNO2,HNO3,HO2-,HS-,HSO3-,HSO4-,HSO5-,HSiO3-,K+,KBr,KCl,KHSO4,KOH,KSO4-,Li+,LiCl,LiOH,Mg(CO3),Mg(HCO3)+,Mg(HSiO3)+,Mg+2,MgCl+,MgF+,MgOH+,MgSO4,N2,N2O2-2,NH3,NH4+,NO2-,NO3-,Na+,NaBr,NaCl,NaF,NaHSiO3,NaOH,NaSO4-,O2,OCN-,OH-,S2O5-2,S2O6-2,S2O8-2,SO2,SO3-2,SO4-2,SiF6-2,SiO2,akermanite,andradite,anhydrite,anthophyllite,antigorite,aragonite,artinite,brucite,calcite,chalcedony,chrysotile,coesite,cristobalite,"cristobalite,alpha","cristobalite,beta",diopside,dolomite,enstatite,fluorite,forsterite,goethite,halite,hematite,huntite,hydromagnesite,magnesite,magnetite,merwinite,monticellite,nesquehonite,periclase,pyrite,quartz,sepiolite,sylvite,talc,tremolite,wollastonite,DEFAULT,HS-/SO4-2,NH4+/NO3-,NO2-/NO3-,%CI of mean,%CI of total,Charge imbalance,IS (molal),Mean charge,Sigma(mz) anions,Sigma(mz) cations,Total charge,stoichiometric IS (molal),Log(Br- x H+**1),Log(Br3- x H+**1),Log(BrO3- x H+**1),Log(BrO4- x H+**1),Log(CN- x H+**1),Log(Ca+2 / H+**2),Log(Cl- x H+**1),Log(ClO- x H+**1),Log(ClO2- x H+**1),Log(ClO3- x H+**1),Log(ClO4- x H+**1),Log(F- x H+**1),Log(Fe+2 / H+**2),Log(Fe+3 / H+**3),Log(HCO3- x H+**1),Log(HS- x H+**1),Log(HSO5- x H+**1),Log(K+ / H+**1),Log(Li+ / H+**1),Log(Mg+2 / H+**2),Log(N2H5+ / H+**1),Log(N2O2-2 x H+**2),Log(NH4+ / H+**1),Log(NO2- x H+**1),Log(NO3- x H+**1),Log(Na+ / H+**1),Log(OCN- x H+**1),Log(S2-2 x H+**2),Log(S2O3-2 x H+**2),Log(S2O4-2 x H+**2),Log(S2O5-2 x H+**2),Log(S2O6-2 x H+**2),Log(S2O8-2 x H+**2),Log(S3-2 x H+**2),Log(S3O6-2 x H+**2),Log(S4-2 x H+**2),Log(S4O6-2 x H+**2),Log(S5-2 x H+**2),Log(S5O6-2 x H+**2),Log(SCN- x H+**1),Log(SO3-2 x H+**2),Log(SO4-2 x H+**2),Log(SiF6-2 x H+**2)
140114U,0.0,0.0,11.4,21.7,-6.0,0.000174863,7.43e-06,1.17e-06,0.00472,4.58e-06,0.000176,1.36e-07,2.62e-05,1.62e-06,0.00809,1.19e-05,0.00022,1.61e-05,0.00117,1.79e-07,3.41e-06,0.9978621646696597,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.3826,-36.2028,-20.8052,-35.9856,-56.5549,-54.4792,-10.2928,-4.238,-4.0844,-7.361,-7.4891,-3.151,-5.8204,-8.5083,-8.4456,-4.7435,-5.01,-2.3714,-22.0447,-34.5831,-33.1077,-35.9537,-5.977,-25.4737,-30.4052,-28.0009,-38.57,-30.0145,-30.4128,-23.3128,-13.4254,-6.7979,-23.4907,-21.2967,-11.4,-42.2278,-65.9284,-0.000124979,-21.2689,-9.8666,-23.5836,-5.2677,-14.454,-25.8607,-14.2301,-20.8411,-8.5165,-20.7596,-61.6071,-15.0489,-17.3567,-21.6249,-5.512,-50.9041,-13.4184,-37.359,-5.3555,-3.7063,-10.8515,-8.651,-20.6312,-6.881,-6.7905,-5.8389,-9.7247,-8.2053,-6.3554,-9.3096,-9.1666,-5.0895,-7.5864,-9.7036,-5.4949,-6.8288,-17.7644,-61.2733,-4.9287,-6.9818,-6.9098,-4.6264,-2.1399,-8.8891,-5.2922,-9.1216,-5.6108,-5.0621,-5.4064,-8.8648,-73.8768,-2.719,,-78.4289,-58.0486,-60.4677,-46.7031,-3.9696,-62.1398,-7.1585,-4.24566,15.134570000000002,-3.8227800000000003,-1.08396,167.07786000000002,1.27121,-1.5669799999999998,1.6012600000000001,1.46612,-4.49852,9.86789,-5.23305,-4.88128,-4.88128,-5.4930699999999995,2.5266599999999997,1.89238,-1.22655,-6.78293,0.02363,4.53158,-8.20553,9.74628,-6.08509,,-1.7993599999999998,-8.08032,-9.41784,0.34047,-5.2451,-5.30044,25.60826,-4.12827,-3.6112300000000004,-9.28293,4.30572,11.8557,-1.8794799999999998,0.478,-0.489,0.067,0.223,34.5048,17.2524,0.0030758454539,0.010229799999999999,0.008914247067399999,-0.007376324340500001,0.010452169794,0.017828494135,0.0105204,-16.78258,-47.6028,-47.38556,-67.95494000000001,-130.14597,19.648970000000002,-13.771379999999999,-33.44468,-45.98308,-44.507659999999994,-47.35366,-17.37699,-2.67371,3.7948199999999996,-16.66773,-16.91196,-48.75904,7.6937,5.5610599999999994,17.71047,-107.30461000000001,-84.07328000000001,4.41821,-18.30979,-16.02639,9.260110000000001,-85.27678,-268.93055,-171.05895,-160.21817,-129.42347,-101.22893,-80.84863,-243.60111,-210.59565,-482.87237999999996,-303.933,-457.98759,-426.36544000000004,-223.93252999999999,-69.50307,-26.76959,-84.93983
140114V,0.0,0.0,11.4,24.4,-6.0,0.000230632,2.75e-06,4.04e-07,0.00698,4.65e-06,1.77e-05,8.62e-07,1.28e-06,1.63e-06,0.00843,2.03e-05,0.000218,5.6e-06,0.00171,1.56e-05,8.31e-06,0.9972148511370512,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.3799,-36.2806,-20.7583,-35.8951,-56.336,-54.0256,-10.3092,-4.2121,-3.887,-7.2126,-7.7673,-3.0038,-5.4972,-8.0415,-8.7573,-4.4711,-5.8783,-2.2057,-21.7831,-34.2554,-32.8405,-35.7273,-6.4433,-23.6624,-28.7554,-26.0206,-36.2718,-28.669,-29.1979,-21.3166,-11.6454,-4.8605,-21.5969,-19.578,-11.4,-41.7743,-67.9853,-0.000150747,-21.1162,-9.5222,-23.568,-5.2671,-14.304,-25.6214,-14.675,-21.7407,-6.6436,-18.7264,-63.6347,-14.2752,-18.6457,-21.4213,-5.1293,-51.4722,-14.41,-38.1686,-5.7831,-3.7148,-10.8348,-8.4619,-21.599,-6.7859,-7.8187,-5.8412,-9.5546,-8.1168,-6.8086,-9.7998,-10.0914,-5.5819,-7.9126,-10.6604,-5.8862,-8.3359,-20.2084,-63.2532,-4.6961,-6.8325,-6.1117,-5.9417,-2.1265,-8.8607,-5.1058,-9.5638,-6.061,-4.9577,-6.4098,-8.8855,-74.4429,-2.6278,,-79.8928,-59.7936,-61.0101,-47.2844,-4.9925,-65.5124,-7.6122,-5.16667,19.1591,-5.012919999999999,-9.70693,122.63987,1.5394299999999999,-2.6362799999999997,1.18964,1.73594,-5.231,7.1801,-5.96614,-5.612419999999999,-5.612419999999999,-6.21979,1.12804,1.5704200000000001,-2.34934,-7.943860000000001,-1.48885,6.95183,-8.04637,14.611270000000001,-7.57798,,-2.38905,-0.72148,-9.87567,-0.32001,-5.95159,-5.6903,28.61787,-4.86075,-9.71525,-9.19393,0.16995,4.9238599999999995,-2.1509400000000003,0.469,-0.507,0.047,0.154,17.4772,8.7386,0.0018893515928,0.012462200000000001,0.010810372561999999,-0.0098656967654,0.011755048358,0.021620745123999998,0.012936600000000001,-16.77991,-47.6806,-47.29515,-67.73601,-130.2342,19.79615,-13.605739999999999,-33.18311,-45.655429999999996,-44.2405,-47.12728,-17.84329,-0.86244,5.4446,-16.667089999999998,-16.52929,-49.56856,7.68518,5.5588,17.21809,-108.82161,-86.05315999999999,4.567480000000001,-17.51173,-17.34167,9.27352,-85.84291999999999,-268.45992,-171.68774,-161.00967,-130.56493999999998,-102.69277,-82.59364000000001,-243.19006000000002,-212.07547999999997,-482.45389000000006,-305.52422,-457.62484000000006,-427.90220999999997,-224.16065,-70.08440999999999,-27.79252,-88.3124
120111B,0.0,0.0,11.4,29.4,-6.0,9.1e-05,4.46e-06,4.21e-08,0.006391397,2.12e-06,1.29e-05,1.35e-06,6.61e-05,2.25e-06,0.007376577,1.53e-05,0.000200767,1.32e-06,0.00171,0.0,5.41e-06,0.9958342294892651,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.721,-37.4547,-21.0195,-36.0777,-56.2859,-53.6834,-10.8173,-4.649,-4.2648,-7.6755,-7.5023,-2.9905,-5.5012,-8.122,-9.7101,-4.2319,-5.9882,-2.244,-21.648,-34.0007,-32.695,-35.6553,-7.4255,,,,,,,,,,,,-11.4,-40.9537,-63.5193,-0.000147045,-20.8407,-9.7751,-23.8844,-5.7471,-14.3681,-25.5252,-15.6168,-23.6446,,,-59.1169,-14.1233,-16.8837,-21.0555,-5.3157,-50.7859,-14.4893,-37.9176,-5.5378,-3.7507,-11.1701,-8.4774,-21.6538,-6.6362,-7.9852,-5.7021,-9.4401,-7.8146,-7.8965,-10.9512,-10.5294,-6.2587,-8.6242,-12.3132,-6.3795,-9.1346,-16.4407,-58.6518,-4.8178,-7.1051,-5.9169,-4.2287,-2.1847,-9.2366,-5.1879,-10.5839,-5.9376,-4.8527,-6.5935,-8.921,-71.8557,-2.4649,,-79.1138,-59.5223,-60.2748,-46.6248,-5.1309,-71.4191,-7.4151,-4.45526,,-5.19681,,102.37085,1.02273,-4.69541,0.7206,1.22222,-5.17719,5.90289,-5.91345,-5.5561,-5.5561,-6.15549,1.3032299999999999,-0.41031000000000006,-2.72471,,-2.29212,,-8.33082,,,,-3.8521199999999998,,-8.65499,-0.18784,-7.63237,-6.1184,,-4.80695,,-9.52224,-0.9676600000000001,4.138719999999999,-1.59205,0.452,-0.52,0.046,0.18600000000000003,3.8511,1.9255,0.00040803058381,0.0122273,0.010595248475,-0.010391233183,0.010799263767,0.02119049695,0.0125377,-17.121029999999998,-48.854729999999996,-47.47772,-67.68588000000001,-126.78316000000001,19.8095,-13.643970000000001,-33.048,-45.40072,-44.09499,-47.05532,-18.82551,,,-17.14714,-16.7157,-49.31756,7.6493,5.69792,16.54133,-103.381,-81.45178,4.2949,-17.31692,-15.62868,9.21534,-83.25567,-264.18467999999996,-169.39961,-159.01549,-129.20332,-101.91381,-82.32231999999999,-239.89881,-209.61148,-474.8446,-301.54702000000003,-450.99259000000006,-422.11325,-219.24826000000002,-69.42479,-27.93093,-94.21913
120113I,0.0,0.0,11.4,30.0,-6.0,0.000141567,3.29e-06,2.11e-08,0.007239337,2.46e-06,7.19e-06,6.22e-07,0.000108056,2.54e-06,0.008851261,3.35e-05,0.000224789,2.42e-06,0.00171,0.0,8.07e-06,0.9956535401769924,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.6585,-37.2843,-20.9475,-35.9964,-56.1771,-53.3956,-10.6297,-4.4536,-4.0804,-7.5009,-7.6703,-3.0071,-5.4633,-8.0365,-10.0265,-4.2219,-6.2652,-2.1921,-21.5757,-33.9143,-32.6214,-35.5904,-7.7275,,,,,,,,,,,,-11.4,-40.8569,-62.9738,-0.000166518,-20.8082,-9.6112,-23.8188,-5.5566,-14.3191,-25.4574,-15.9139,-24.2413,,,-58.5654,-14.4668,-16.6665,-21.0126,-5.1442,-50.9508,-14.7444,-38.1337,-5.6903,-3.7041,-11.056,-8.372,-21.855,-6.5679,-8.1999,-5.6519,-9.3363,-7.7453,-7.4502,-10.5121,-10.4347,-6.011,-8.324,-12.3665,-6.1102,-9.1472,-15.9773,-58.0907,-4.4774,-6.7824,-6.2555,-4.0174,-2.1079,-9.0944,-5.0575,-10.8066,-6.0206,-4.7568,-6.7774,-8.925,-71.294,-2.4459,,-79.5136,-59.982,-60.4337,-46.793,-5.3933,-73.4132,-7.5732,-4.46855,,-5.58486,,113.19221,1.27846,-3.69158,1.11839,1.47831,-5.42199,6.609380000000001,-6.15838,-5.8006,-5.8006,-6.39905,1.25071,0.46679,-2.5668599999999997,,-1.73147,,-8.17061,,,,-3.23064,,-8.63232,0.00575,-7.03723,-5.71561,,-5.05175,,-9.41276,-0.7468600000000001,4.25472,-1.8014,0.449,-0.525,0.043,0.201,6.1702,3.0851,0.00073238000439,0.0134874,0.01186965236,-0.011503462357999998,0.012235842362,0.02373930472,0.0138903,-17.05845,-48.68435,-47.39645,-67.57714,-126.11968,19.79293,-13.592089999999999,-32.97569,-45.31429,-44.02142,-46.99041,-19.127489999999998,,,-16.95662,-16.54417,-49.53366,7.6958899999999995,5.74811,16.78903,-102.72074,-80.89066,4.61755,-17.65545,-15.41738,9.2921,-82.69403,-264.17233999999996,-169.62153999999998,-159.27206,-129.53446,-102.31364,-82.78195,-239.80879,-210.05834,-474.93054000000006,-302.06112,-451.00003,-422.65949000000006,-218.65816,-69.59304,-28.19326,-96.21321
120113K,0.0,0.0,11.4,30.9,-6.0,0.000121253,2.04e-05,6.32e-08,0.006096545,2.07e-06,1.08e-05,1.07e-05,5.64e-05,2.61e-06,0.007533085,2.35e-06,0.000186485,4.48e-07,0.0016,0.0,1.51e-07,0.9953767157539586,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.7314,-37.5289,-21.0064,-36.0415,-56.1811,-53.3141,-10.698,-4.5103,-4.1493,-7.5842,-6.8739,-3.0277,-5.5522,-8.2043,-9.5653,-4.2029,-6.0953,-2.2644,-21.6175,-33.9351,-32.6614,-35.6433,-7.2489,,,,,,,,,,,,-11.4,-40.7123,-63.3506,-0.00014854200000000002,-20.7598,-11.3482,-23.8871,-5.6204,-14.3956,-25.5058,-15.4279,-23.2734,,,-58.9333,-13.2365,-16.9379,-20.9486,-6.8699,-50.6177,-14.546,-37.877,-4.8747,-3.7827,-11.2001,-8.5125,-21.7244,-6.6142,-8.0893,-5.6379,-9.3921,-7.7028,-8.2405,-11.313,-10.3583,-6.7494,-9.1339,-12.6249,-6.8163,-9.695,-16.4768,-58.4443,-5.6312,-7.9628,-5.0178,-4.2976,-2.1758,-9.231,-5.195,-10.3921,-5.2839,-4.7962,-6.6552,-8.9309,-71.3994,-2.4175,,-78.9521,-59.5097,-60.0916,-46.4651,-5.2057,-69.7704,-6.7663,-3.11613,,-5.35539,-9.38791,104.76584,1.1834,-5.75352,0.17340999999999998,1.3837899999999999,-4.33793,5.94656,-5.07452,-4.71609,-4.71609,-5.31313,2.5385,-0.7224,-2.42056,,-2.52268,,-8.392510000000001,,,,-4.32459,,-7.220160000000001,0.21147,-8.17056,-6.65313,,-3.9677,-8.57543,-9.66301,0.76427,8.34181,-0.65838,0.446,-0.513,0.047,0.153,1.0332,0.5166,0.00010974842857,0.0121347,0.010622656114,-0.0105677819,0.010677530329,0.021245312229,0.0124818,-17.13137,-48.92893,-47.44147,-67.58113,-126.07307,19.77231,-13.66445,-33.017540000000004,-45.33506,-44.06139,-47.04331,-18.648889999999998,,,-17.02044,-18.26988,-49.27698,7.61725,5.76209,16.05056,-102.9262,-81.24428,3.4371699999999996,-16.417839999999998,-15.69757,9.2242,-82.79945,-262.99552,-168.79443999999998,-158.49667,-128.87041000000002,-101.75214,-82.3097,-240.49777000000003,-208.98781,-472.74194000000006,-300.51171,-450.67600999999996,-420.57885,-218.14184,-69.26507,-28.005740000000003,-92.5704
090120U,0.0,0.0,11.4,31.4,-6.0,0.000107388,5.05e-05,0.0,0.007101825,3.1e-06,6.72e-05,0.0,0.000227401,1.77e-06,0.006584146,2.29e-05,0.000142226,0.000102325,0.001946108,0.0,0.0,0.9952199575622727,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.5577,-37.022,-20.8249,-35.8523,-55.9693,-53.3485,-10.8153,-4.6212,-4.1751,-7.6179,-6.3848,-2.9472,-5.405,-7.9961,,-4.1004,-5.2328,-2.2,-21.5362,-33.8421,-32.579,-35.5681,,,,,,,,,,,,,-11.4,-40.6323,-62.0417,-0.00015457899999999998,-20.733,,-23.7109,-5.7353,-14.3334,-25.4281,,,,,-57.6195,,-16.3293,-20.9133,,-49.7568,-13.7596,-37.0583,-4.4671,-3.9027,-11.1422,-8.5622,-21.0518,-6.7162,-7.4279,-5.8087,-9.4969,-7.8578,-6.0014,-9.0797,-7.6037,-4.4021,-6.7215,,-4.451,-6.5655,-15.2356,-57.1226,-4.6424,-6.9887,,-3.6939,-2.2369,-9.1159,-5.1901,,-4.9434,-4.8416,-5.9344,-8.9342,-70.7786,-2.4019,,-77.2882,-57.8951,-59.2256,-45.607,-4.4254,,-6.3634,1.6108,,-4.15674,18.17597,282.36169,1.14782,0.67051,3.48863,1.34851,-3.79607,16.9782,-4.532780000000001,-4.17398,-4.17398,-4.77025,7.10145,2.3636,1.4405700000000001,,4.6578599999999994,,-8.40296,,-4.39035,-8.76905,-1.20292,,-2.33197,4.2336800000000006,-5.070869999999999,-3.33373,,-3.42584,7.924580000000001,-9.76293,12.8829,29.58655,0.04431,0.445,,0.042,,-13.3485,-6.6742,-0.0015030466447000003,0.0131969,0.011260068441,-0.012011591764,0.010508545119,0.022520136883,0.013715100000000001,-16.95767,-48.422,-47.25233,-67.36929,-125.36814,19.85281,-13.59999,-32.936209999999996,-45.24207,-43.97902,-46.96808,,,,-17.1353,,-48.458290000000005,7.4973399999999994,5.59132,18.39789,-101.52251,-79.92256,4.41131,,-15.093879999999999,9.16312,-82.17860999999999,-260.99122,-166.98357,-156.7144,-127.14972,-100.08816999999999,-80.69509000000001,,-206.36557,-468.82455,-296.94785,,-416.04444,-216.50038999999998,-68.40701999999999,-27.22536,
090120V,0.0,0.0,11.4,30.6,-6.0,5.41e-05,4.5e-05,1e-06,0.007125332,2.93e-06,8.17e-05,0.0,0.0,1.35e-06,0.00662225,0.0,0.000164125,2.23e-05,0.001671657,0.0,0.0,0.9954697570778012,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.5809,-37.0689,-20.8606,-35.9003,-56.0536,-53.7269,-11.061,-4.8771,-4.4914,-7.9215,-6.4909,-3.0002,-5.4588,-8.0414,-8.3402,-4.1886,-5.1929,-2.1971,-21.5604,-33.8849,-32.6049,-35.5825,-6.0502,,,,,,,,,,,,-11.4,-40.7604,,-0.000148999,-20.7759,,-23.7382,-5.9849,-14.3269,-25.4465,-14.2317,-20.8796,,,,,,-20.9699,,-49.7902,-13.6737,-37.024,-4.5187,-3.8389,-11.1082,-8.5048,-20.9118,-6.6811,-7.27,-5.9247,-9.6124,-7.9991,-6.9072,-9.9762,-8.3004,-5.0477,-7.3652,-9.725,-5.1253,-7.1183,,,,,,,-2.2328,-9.1389,-5.1856,-9.2517,-4.9813,-4.8627,-5.8371,-8.929,,-2.4269,,-77.2622,-57.7901,-59.2671,-45.6358,-4.3297,-62.2078,-6.4074,0.2578,,-4.09901,11.05397,234.35836,0.7077100000000001,-1.55465,2.51218,0.9079200000000001,-3.82744,13.982510000000001,-4.563969999999999,-4.20576,-4.20576,-4.8032699999999995,5.90533,0.65436,0.42628,-7.07273,2.66043,,-8.36908,,-8.6407,,-2.4722,,-3.8374800000000002,3.06716,-6.30502,-4.31686,,-3.45721,3.84975,-9.63391,9.819230000000001,24.13031,-0.13889,0.447,,,,-14.4599,-7.2299,-0.0015554932816,0.012420700000000002,0.010757297862,-0.011535044502999999,0.0099795512216,0.021514595725,0.0127291,-16.98089,-48.46893,-47.300270000000005,-67.45358,,19.79978,-13.59715,-32.960390000000004,-45.284929999999996,-44.004870000000004,-46.982490000000006,-17.450229999999998,,,-17.38485,,-48.424009999999996,7.56112,5.47534,17.752270000000003,,,,,,9.1672,,-261.51032000000004,-167.19288,-156.87791,-127.21461000000001,-100.06222,-80.59009,,-206.52889,-469.71665,-297.27376,,-416.57928,,-68.43581,-27.12975,-85.00776
120112F,0.0,0.0,11.4,27.4,-6.0,0.000106103,4.62e-06,0.0,0.00431695,1.29e-06,4.14e-06,2.79e-07,5.32e-05,3.07e-06,0.00544507,1.06e-05,0.000129218,1.93e-06,0.00172,0.0,4.96e-06,0.9964137385464344,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.9327,-38.0306,-21.2628,-36.3522,-56.6526,-53.9216,-10.7184,-4.5775,-4.1917,-7.5693,-7.443,-2.9706,-5.6559,-8.4277,,-4.3014,-6.451,-2.4099,-21.8826,-34.2828,-32.9338,-35.865,,,,,,,,,,,,,-11.4,-41.2789,-64.1117,-0.00011242,-20.9497,-9.7825,-24.1061,-5.6589,-14.5242,-25.7446,,,,,-59.7297,-14.7871,-16.9932,-21.2,-5.349,-51.5895,-14.9896,-38.5489,-5.4955,-3.937,-11.5847,-8.8529,-22.3646,-6.8957,-8.6513,-5.562,-9.4715,-7.7389,-7.6347,-10.6648,-10.2841,-6.0579,-8.5911,,-6.2515,-9.4171,-16.7567,-59.2972,-4.9776,-7.205,-6.5976,-4.3186,-2.3115,-9.5846,-5.4866,,-5.9971,-5.044,-7.2022,-8.9072,-72.3942,-2.5291,,-80.4857,-60.6931,-61.0983,-47.4174,-5.6074,,-7.3536,-4.380380000000001,,-5.82001,,112.54952,1.12372,-4.19656,0.81588,1.32202,-5.00741,6.51931,-5.74322,-5.38733,-5.38733,-5.98987,1.558,0.04349,-2.47572,,-1.9644400000000002,,-8.67253,,,,-3.49971,,-8.74918,-0.10720999999999999,-7.19247,-6.03965,,-4.637169999999999,-9.93898,-9.91597,-0.02462,5.59047,-1.58964,0.45799999999999996,-0.518,0.052000000000000005,0.209,13.0444,6.5222,0.0010800263064,0.00992114,0.0082796174993,-0.0077396043461,0.0088196306525,0.016559234999,0.0102179,-17.33266,-49.430609999999994,-47.752159999999996,-68.05259000000001,-127.66393000000001,19.82943,-13.80991,-33.28262,-45.68275,-44.33377,-47.264990000000004,,,,-17.058870000000002,-16.74905,-49.948879999999996,7.46305,5.838019999999999,16.74209,-104.35934,-82.09724,4.19495,-17.99756,-15.7186,9.08845,-83.7942,-266.94178999999997,-171.3694,-160.86883999999998,-130.80603,-103.28567,-83.49313000000001,-242.37357000000003,-212.18285,-479.98652999999996,-305.24992000000003,-455.85492,-427.06577999999996,-221.23996,-70.21741,-28.40738,
140117G,0.0,0.0,11.4,30.5,-6.0,1.86e-05,1.5e-06,0.0,0.00533,3.13e-06,1.38e-06,0.0,1.61e-08,2.62e-06,0.00627,1.95e-05,0.000148,7.94e-07,0.0019,1.15e-05,3.75e-06,0.9955006010232167,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.5509,-36.9761,-20.8321,-35.8734,-56.0312,-54.245,-11.5624,-5.3798,-4.9263,-8.3548,-7.8944,-2.9314,-5.5151,-8.2217,,-4.1242,-6.8966,-2.3218,-21.6885,-34.0153,-32.7331,-35.7093,,-24.0652,-29.5132,-26.5287,-36.5598,,,-21.3137,-12.1195,-4.9902,-21.8181,-20.1849,-11.4,-40.7764,-70.5191,-0.00013332,-20.7813,-9.9472,-23.7087,-6.4868,-14.4512,-25.5738,,,-6.9162,-18.6418,-66.1057,,-20.4853,-20.977,-5.4739,-51.5786,-15.4471,-38.804,-5.9908,-3.882,-11.1222,-8.6738,-22.7296,-6.7278,-9.0856,-5.6351,-9.4478,-7.7127,-8.8506,-11.9183,-11.2125,-6.4878,-8.9301,,-6.569,-10.331,-23.5908,-65.623,-4.7123,-7.0321,,-7.8411,-2.2541,-9.1307,-5.3319,,-6.4735,-4.8872,-7.6309,-8.9283,-75.9152,-2.4301,,-80.8275,-61.3454,-61.0565,-47.4237,-6.102,,-7.8786,-5.66285,18.10172,-6.466080000000001,,68.47606,0.1036,-6.26354,0.50171,0.30374,-5.86777,3.8699800000000004,-6.60428,-6.24613,-6.24613,-6.8438,-0.10057,-2.65077,-3.62534,,-3.40251,6.3386,-8.56889,13.44069,,,-5.17324,-2.33779,-9.67234,-0.89864,-9.001610000000001,-6.328180000000001,26.049770000000002,-5.49754,,-9.8625,-4.374619999999999,-2.07539,-2.09334,0.44799999999999995,-0.529,0.013999999999999999,,5.9946,2.9973,0.00058737302121,0.011606700000000001,0.009798384987,-0.0095046984764,0.010092071498,0.019596769974,0.011884700000000002,-16.95089,-48.376059999999995,-47.27336,-67.43123,-130.65628,19.868579999999998,-13.721820000000001,-33.08845,-45.41533,-44.133140000000004,-47.109320000000004,,-1.26518,4.6868300000000005,-17.886779999999998,-16.87387,-50.203959999999995,7.51801,5.76489,16.31219,-110.17067,-88.42302,4.36787,,-19.24106,9.14589,-87.31519,-265.1439,-170.78763,-160.46692,-130.79125,-103.62748,-84.14544000000001,-241.18801000000002,-211.90212999999997,-476.96550999999994,-304.45165,-453.44197,-425.56762000000003,-223.74659,-70.22367,-28.90202,
120116S,0.0,0.0,11.4,29.5,-6.0,8.19e-05,2.23e-06,2.63e-08,0.004578294,6.45e-07,4.38e-06,3.86e-07,2.74e-05,3.37e-06,0.005607993,1.35e-05,0.00012892,4.54e-06,0.0017,0.0,3.84e-06,0.9958043308844938,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-6.2346,-38.9984,-21.5315,-36.5882,-56.7918,-53.7165,-10.8671,-4.6975,-4.3011,-7.7135,-7.7623,-2.9793,-5.631,-8.3939,-9.8997,-4.2162,-6.4323,-2.3854,-21.786,-34.1364,-32.8328,-35.7946,-7.6267,,,,,,,,,,,,-11.4,-40.9375,-64.257,-0.00011936600000000001,-20.8352,-9.9219,-24.3975,-5.7964,-14.51,-25.664,-15.8172,-24.0458,,,-59.8536,-14.6647,-17.2618,-21.0483,-5.4612,-51.2253,-14.9437,-38.3655,-5.8092,-3.9392,-11.8714,-8.8061,-22.2955,-6.821,-8.6292,-5.523,-9.4021,-7.6323,-7.3999,-10.4558,-10.2562,-5.7141,-8.2209,-11.9696,-5.8313,-9.0453,-17.192,-59.3868,-4.8722,-7.1624,-6.4575,-4.6078,-2.2999,-9.865,-5.4443,-10.8999,-6.3254,-4.9647,-7.1641,-8.9217,-72.2574,-2.4617,,-80.0043,-60.4228,-60.7133,-47.0647,-5.5866,-72.9027,-7.6875,-4.40284,,-5.81248,,126.05048000000001,0.9724299999999999,-3.24629,1.48394,1.17198,-5.5586199999999995,7.43047,-6.2949,-5.93748,-5.93748,-6.53671,1.32966,0.2276,-2.34203,,-1.1453,,-8.6893,,,,-3.1639,,-8.57713,0.22024000000000002,-6.948410000000001,-5.35426,,-5.18838,,-9.9836,-0.20232999999999998,4.95696,-1.94812,0.451,-0.523,0.043,0.191,5.1503,2.5752,0.00044995235161000006,0.0103524,0.008736366318,-0.0085113901422,0.0089613424938,0.017472732636,0.0106468,-17.634629999999998,-50.39844,-47.98819,-68.19176999999999,-127.16788999999999,19.82075,-13.78539,-33.186009999999996,-45.53637,-44.23279,-47.19457,-19.0267,,,-17.19644,-16.86119,-49.76551,7.46085,5.87702,17.08595,-104.09944,-82.1868,4.23761,-17.85751,-16.00775,9.1001,-83.6574,-265.00641,-170.26045,-159.88211,-130.08239,-102.80435,-83.22284,-240.88172000000003,-210.92177,-476.50656,-303.28046,-452.8156,-424.26395999999994,-220.05714,-69.86475,-28.3866,-95.70269
