,Year,Area,H+,Temperature,logfO2,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
100107B,,,11.3,30.3,-6,0.000107519,0.0000393,0.000000559,0.007310266,,0.0000637,,0.000222563,0.0000215,0.007155787,7.69E-05,0.000136114,0.00000631,0.001914036,,0.0000833
120112E,,,11.3,30.1,-6,0.0000664,0.00000556,1.75E-08,0.003382215,0.000000934,0.00000187,0.000000449,4.84E-05,0.00000316,0.004197557,8.22E-06,0.000098,0.000000679,0.00174,,0.00000169
120112H,,,11.3,31.9,-6,0.0000741,0.0000315,2.46E-07,0.004792044,0.00000169,0.00000952,,,0.00000287,0.006327458,,0.000144001,0.000000736,0.0018,,
140117I,,,11.3,32.3,-6,0.0000467,0.00000196,,0.00532,0.00000313,0.00000646,,9.84E-08,0.00000261,0.00628,0.0000194,0.000148,0.00000809,0.00186,0.0000138,0.00000325
140117J,,,11.3,31.6,-6,0.0000705,0.0000489,,0.00471,0.00000282,0.000111,,7.58E-08,0.00000233,0.00583,0.0000169,0.00014,0.0000195,0.000828,0.00000698,0.00000231
120117T,,,11.3,32.6,-6,0.0000422,0.00000208,,0.003283784,0.000000494,0.00000113,0.000000668,1.61E-05,0.00000349,0.004012712,2.11E-05,0.0000896,0.00000148,0.00165,,0.00000287
120117U,,,11.3,32,-6,0.0000392,0.00000177,,0.005149364,0.00000141,0.00000178,0.000000348,1.29E-05,0.00000363,0.006245041,1.53E-05,0.000147158,0.000000868,0.00165,,0.00000351
120117X,,,11.3,32.8,-6,0.0000148,0.00000237,,0.005097043,0.00000151,0.00000126,0.00000174,2.26E-05,0.00000354,0.006036255,1.17E-05,0.00014636,0.000000555,0.00167,,0.00000218
100114AS,,,11.3,18.2,-6,0.000468954,0.0000227,0.00000028,0.00612243,,0.000220828,,1.29E-05,0.00000931,0.007418742,,0.000137361,0.000291092,0.000301911,,0.000000907
140115X,,,11.4,29.5,-6,0.0000312,0.00000222,,0.0114,0.00000536,0.00000475,,0.000000348,0.00000268,0.0139,0.0000587,0.000322,0.000000448,0.00189,0.0000133,0.00000697
120118Z,,,11.4,30.6,-6,0.00011812,0.00000296,,0.009851274,0.00000144,0.00000637,0.000000626,6.61E-05,0.00000316,0.012111544,5.81E-05,0.000273323,0.000000704,0.0015,,0.00000756
120129H,,,11.4,38.2,-6,0.0000433,0.00000289,,0.003406207,0.000000272,0.000000997,,,0.00000361,0.003792105,,0.0000976,0.000000506,0.00141,,
140110C,,,11.4,27,-6,0.0000531,0.00000426,,0.00745,0.00000784,0.0000108,,0.000000465,0.00000036,0.00791,0.0000198,0.00022,0.0000013,0.00196,0.0000131,0.0000137
140112K,,,11.4,26.9,-6,0.0000357,0.00000388,,0.00716,0.00000783,0.0000184,0.000000109,0.00000011,0.000000375,0.00759,0.0000227,0.000211,0.00000224,0.00189,0.0000122,0.0000167
