ID,Year,Temperature,Pressure,H+,HCO3-,O2,HS-,SiO2,CH4,H2,CO,F-,Cl-,Br-,SO4-2,HPO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Be+2,B(OH)3,Al+3,Ti+4,VO+2,CrO4-2,Mn+2,Co+2,Ni+2,Cu+2,Zn+2,Ga+3,H2AsO4-,Rb+,Sr+2,Y+3,Zr+4,NbO3-,MoO4-2,Cd+2,Sn+2,SbO2-,Cs+,Ba+2,La+3,Hf+4,WO4-2,Tl+,Pb+2,Th+4,U+4,Fe+2,Fe+3
,,degC,bar,pH,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
140726TM,2014,81.2,1,2.404,0.000233139,1.19E-05,3.37E-05,0.001822388,1.76E-08,2.11E-08,2.79E-08,7.37E-06,2.45E-06,0,0.006667326,2.84E-08,1.04E-07,5.81E-07,5.19E-07,5.09E-05,0.006631316,9.31E-05,1.28E-05,1.45E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49E-05,0
140726SS,2014,80.2,1,2.415,0.000999167,4.06E-05,6.00E-05,0.006973338,2.10E-08,1.38E-08,4.29E-08,0.00062321,0.0052351,6.38E-06,0.012186843,0,4.78E-08,3.87E-07,0.000204581,0.009578947,3.22E-05,0.001055041,0.00043489,0.000859281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137178,0
140726SR,2014,43.7,1,6.528,0.000333056,9.38E-05,8.42E-07,0.008354692,3.47E-09,5.74E-09,0,0.000962186,0.012872535,1.60E-05,0.003190486,0,9.56E-08,1.47E-07,0.000498487,0.019414963,3.16E-06,0.001128958,9.46E-06,0.000201347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-06,0
140726SQ,2014,64.1,1,5.202,0.000699417,1.75E-05,4.99E-07,0.007106481,8.79E-08,2.83E-08,6.46E-08,0.000951133,0.012619524,1.59E-05,0.003015093,0,6.96E-08,8.06E-08,0.000446622,0.017845585,5.50E-06,0.000995192,6.17E-06,0.000182385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76E-06,0
140725TK,2014,66.8,1,5.986,0.002073272,2.19E-05,2.31E-06,0.006474054,4.92E-08,4.14E-08,1.23E-07,0.000262127,0.001088201,1.38E-06,0.001573748,1.47E-07,8.91E-08,6.13E-07,4.75E-05,0.003079165,1.17E-06,0.000673948,0.000416375,0.000678643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37E-07,0
140725SK,2014,75.4,1,8.947,0.00274771,1.88E-05,2.62E-05,0.00745598,2.12E-08,6.39E-07,2.68E-08,0.00141433,0.006937354,9.14E-06,0.000159051,3.69E-08,9.35E-08,1.58E-07,0.000240599,0.01369813,8.33E-07,0.000269579,0,7.49E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95E-07,0
140725SJ,2014,64.6,1,9.044,0.002830974,2.81E-05,1.28E-05,0.007406051,2.00E-09,5.20E-09,9.86E-08,0.001432752,0.006979663,9.89E-06,0.000172374,1.26E-07,1.76E-07,7.42E-07,0.000249244,0.013703784,4.00E-06,0.000276996,0,1.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-07,0
140724TE,2014,49.9,1,3.47,0.000832639,5.63E-05,5.61E-07,0.003644776,5.46E-07,3.53E-09,3.10E-08,5.26E-05,1.21E-05,5.88E-08,0.000700739,1.16E-07,1.33E-08,2.42E-07,3.89E-06,0.00046107,8.27E-05,0.000405647,2.06E-05,9.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48E-06,0
140724TC,2014,50.4,1,4.212,0.000815987,5.00E-05,4.99E-07,0.006673768,1.27E-06,5.67E-10,8.50E-08,5.53E-05,1.38E-05,3.88E-08,0.00052035,1.00E-08,9.78E-09,7.58E-07,4.32E-06,0.000615485,3.83E-06,0.000313315,8.23E-06,6.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73E-06,0
140724SE,2014,70.2,1,7.13,0.002489592,7.50E-05,3.15E-06,0.004410345,2.58E-08,9.27E-09,0,0.00073901,0.009702705,1.24E-05,0.001075049,0,4.56E-08,1.02E-07,0.000419248,0.013951718,2.00E-05,0.000589288,6.58E-06,0.000108034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-07,0
