Sample,Year,AOA,AOA RA,Temperature,Pressure,H+,HCO3-,DOC,O2,HS-,SiO2,F-,Cl-,Br-,SO4-2,PO4-3,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,Fe+3,Cu+2
,,Yes/No,,degC,bar,pH,Molality,ppm,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
140726SQ,2014,No,0,64.1,1,5.202,1.38E-04,0.9,0.0000174,4.99E-07,7.11E-06,0.000950927,0.012619623,1.58E-05,0.003015089,,6.90E-08,8.64E-08,0.00044664,0.017845395,0.00000547,0.000995075,6.05E-06,0.000182392,,,
140726SR,2014,No,0,43.7,1,6.528,6.54E-05,0.9,0.0000938,8.42E-07,8.36E-06,0.000961998,0.012872666,1.60E-05,0.003190482,,9.56E-08,1.47E-07,0.000498019,0.01941493,0.00000318,0.001128872,9.52E-06,0.000201357,,,
140727SU,2014,No,0,46.3,1,3.388,8.92E-07,0.2,0.000128125,3.74E-07,8.75E-06,0.002195126,0.025397247,3.42E-05,0.005823462,1.55E-06,0,3.55E-07,0.001163802,0.031109178,0.001064157,0.004257195,2.78E-05,0.000196931,,,
140727SV,2014,No,0,50.8,1,1.924,6.53E-05,1.1,0.0000344,3.12E-07,4.44E-06,0.0000427,0.0000406,6.01E-08,0.019250393,6.21E-06,8.80E-08,1.47E-07,0.00000374,0.001142907,0.000455233,0.000899254,2.15E-04,0.000392113,,,
140727SW,2014,No,0,50.3,1,1.94,1.05E-04,1.6,0.0000563,2.09E-06,5.16E-06,0.0000435,0.0000394,5.79E-08,0.019579809,6.12E-06,7.88E-08,8.64E-08,0.00000352,0.001086349,0.000409564,0.000799368,2.03E-04,0.000361885,,,
140727SX,2014,No,0,58.8,1,1.943,2.08E-04,1,0.000025,4.15E-06,6.96E-06,0.0000417,0.0000381,5.48E-08,0.018994671,6.38E-06,1.17E-07,1.86E-07,0.00000358,0.00110789,0.000456996,0.000874827,2.10E-04,0.000385794,,,
140727SY,2014,No,0,57.5,1,1.93,2.67E-05,1.5,0.00000813,1.43E-06,,0.0000516,0.0000434,5.73E-08,0.023134576,6.14E-06,6.52E-08,6.77E-08,0.00000455,0.001278834,0.00035962,0.000597937,2.60E-04,0.000335527,,,
140727SZ,2014,No,0,53,1,1.951,1.14E-04,1,0.0000563,4.33E-06,4.74E-06,0.0000413,0.0000382,5.07E-08,0.01908625,6.34E-06,1.04E-07,7.26E-08,0.00000361,0.001119625,0.000450014,0.000882415,2.11E-04,0.000390275,,,
140729SD,2014,No,0,28.6,1,3.643,3.63E-06,0.8,0.000134375,7.17E-07,1.32E-05,0.002523298,0.029306573,3.91E-05,0.006655577,9.97E-07,1.20E-08,6.61E-07,0.001122176,0.031033085,0.001063758,0.004211017,2.67E-05,0.000190238,,,
140729SE,2014,No,0,28.8,1,3.659,7.24E-07,0.7,0.000146875,4.99E-07,1.47E-05,0.002452335,0.028321757,3.84E-05,0.00638081,8.70E-07,5.81E-08,9.84E-07,0.001315545,0.034819235,0.001171259,0.004808712,3.04E-05,0.000221741,,,
140730SI,2014,Yes,0.108486612,68,1,8.31,1.05E-03,0.4,0.0000219,3.43E-07,6.09E-06,0.001246435,0.006130023,8.64E-06,0.000175322,1.33E-07,1.38E-07,1.56E-07,0.0003674,0.015212062,0.0000054,0.000342996,,0.0000116,,,
140730SJ,2014,Yes,0.050964889,69.3,1,8.248,1.06E-03,0.4,0.0000188,4.05E-07,6.46E-06,0.00124865,0.006128012,8.59E-06,0.000174699,1.21E-07,1.11E-07,1.94E-07,0.000328119,0.013087616,0.00000801,0.000306665,,0.000011,,,
