E3,6.6780E-04,0.000,0.0000,-0.0028,-0.0113,0.0000,-0.0113,0.0000,
E3,1.0000E-03,0.000,0.0000,-0.0028,-0.0113,0.0000,-0.0113,0.0000,
E3,1.3057E-03,0.000,0.0000,-0.0028,-0.0113,0.0000,-0.0113,0.0000,
E3,1.3091E-03,0.000,0.0000,-0.0028,-0.0113,0.0000,-0.0114,0.0000,
E3,3.1840E-03,0.000,0.0000,-0.0028,-0.0113,0.0000,-0.0114,0.0000,
E3,1.0000E-02,0.000,0.0000,-0.0041,-0.0163,0.0000,-0.0164,0.0000,
E3,0.1000,0.000,-0.0000,-0.0048,-0.0191,0.0000,-0.0192,0.0000,
E3,0.4955,0.000,-0.0000,-0.0052,-0.0210,0.0000,-0.0211,0.0000,
E3,1.000,0.000,-0.0000,-0.0052,-0.0210,0.0000,-0.0211,0.0000,
J,EndTable:,E3,
J,
J,
J,Table J,Moles of reactants destroyed/created,
J,Xi,t(days),forsterite,fayalite,
J,0.000,0.000,0.000,0.000,
J,6.0174E-13,0.000,1.2035E-14,5.8971E-13,
J,1.0000E-08,0.000,2.0000E-10,9.8000E-09,
J,1.0000E-07,0.000,2.0000E-09,9.8000E-08,
J,1.0000E-06,0.000,2.0000E-08,9.8000E-07,
J,1.0000E-05,0.000,2.0000E-07,9.8000E-06,
J,1.2936E-05,0.000,2.5873E-07,1.2678E-05,
J,1.0000E-04,0.000,2.0000E-06,9.8000E-05,
J,2.6647E-04,0.000,5.3293E-06,2.6114E-04,
J,5.5192E-04,0.000,1.1038E-05,5.4088E-04,
J,6.6556E-04,0.000,1.3311E-05,6.5225E-04,
J,6.6780E-04,0.000,1.3356E-05,6.5445E-04,
