E3,1.4766E-05,0.000,0.0000,-0.0007,-0.0027,0.0000,-0.0027,0.0000,
E3,1.0000E-04,0.000,0.0000,-0.0017,-0.0069,0.0000,-0.0069,0.0000,
E3,3.0097E-04,0.000,0.0000,-0.0030,-0.0118,0.0000,-0.0119,0.0000,
E3,3.6438E-04,0.000,0.0000,-0.0032,-0.0130,0.0000,-0.0130,0.0000,
E3,3.6682E-04,0.000,0.0000,-0.0033,-0.0131,0.0000,-0.0131,0.0000,
E3,4.0054E-04,0.000,0.0000,-0.0034,-0.0136,0.0000,-0.0137,0.0000,
E3,7.0439E-04,0.000,0.0000,-0.0034,-0.0136,0.0000,-0.0137,0.0000,
E3,7.0642E-04,0.000,0.0000,-0.0034,-0.0136,0.0000,-0.0137,0.0000,
E3,1.0000E-03,0.000,0.0000,-0.0034,-0.0136,0.0000,-0.0137,0.0000,
E3,1.6997E-03,0.000,0.0000,-0.0034,-0.0136,0.0000,-0.0137,0.0000,
E3,1.0000E-02,0.000,0.0000,-0.0049,-0.0197,0.0000,-0.0198,0.0000,
E3,0.1000,0.000,-0.0000,-0.0057,-0.0227,0.0000,-0.0229,0.0000,
E3,0.2862,0.000,-0.0000,-0.0060,-0.0242,0.0000,-0.0244,0.0000,
E3,1.000,0.000,-0.0000,-0.0060,-0.0242,0.0000,-0.0244,0.0000,
J,EndTable:,E3,
J,
J,
J,Table J,Moles of reactants destroyed/created,
J,Xi,t(days),forsterite,fayalite,
J,0.000,0.000,0.000,0.000,
J,8.9930E-13,0.000,1.7986E-14,8.8132E-13,
J,1.0000E-08,0.000,2.0000E-10,9.8000E-09,
J,1.0000E-07,0.000,2.0000E-09,9.8000E-08,
J,1.0000E-06,0.000,2.0000E-08,9.8000E-07,
J,1.0000E-05,0.000,2.0000E-07,9.8000E-06,
J,1.4766E-05,0.000,2.9532E-07,1.4471E-05,
J,1.0000E-04,0.000,2.0000E-06,9.8000E-05,
J,3.0097E-04,0.000,6.0195E-06,2.9495E-04,
J,3.6438E-04,0.000,7.2876E-06,3.5709E-04,
J,3.6682E-04,0.000,7.3364E-06,3.5948E-04,
J,4.0054E-04,0.000,8.0108E-06,3.9253E-04,
